Season,Episode,Title,Scene,Person,Said
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"Never better, sir. Everywhere I turn, I see another sign of nature's... (he sees Maggie, who waves at him from a green mud bath) ...uh, beauty. I assure you, when I return, I'll be feeling like a new man."
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"You know, Maggie, I never realize how dreary this place actually looks."
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"Ah, well. Thanks for a splendid weekend."
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"Good to see you, sir!"
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,I thought this drab old cave could use a little colour. How does it look?
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"Yes, so lovely. -- I fear all this decorating is giving me a dreadful thirst."
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"Special Spa Water, sir. With a drop or two of Dr. Demeter's formula. Wonderful stuff this Demetrite. - Excuse me, sir. I couldn't help it. (Alfred immediately faints)"
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"Really, sir, it was only a case of overexertion. My weekend must have been more tiring than I realized."
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,Maggie! How strange to see you. I've just been thinking about-
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,How did you know?
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"I don't know why doctor, but we felt absolutely compelled to come back."
1,16,Eternal Youth,INVESTIGATION AND DOWNFALL,Alfred,"I say, what is this? - Run, Maggie!"
1,16,Eternal Youth,AFTERMATH,Alfred,"Please, Maggie, after our encounter with ""Joan of Bark"", the last thing I want to be reminded of is trees."
1,18,Two-Face Part II,BATMAN LOCATES TWO-FACE,Alfred,"Twos? My lord, has anyone informed the Second National Bank?"
1,18,Two-Face Part II,BATMAN LOCATES TWO-FACE,Alfred,"Perhaps, he'll rob them twice. A sort of ""double or nothing""."
1,18,Two-Face Part II,BATMAN LOCATES TWO-FACE,Alfred,"Keep your guard up, sir. Harvey is no longer the fellow we knew."
1,18,Two-Face Part II,BATMAN LOCATES TWO-FACE,Alfred,That may make him even more dangerous.
1,21,Vendetta,BULLOCK'S PAST,Alfred,Sure you can't think this Bullock person planted that bomb.
1,21,Vendetta,BULLOCK'S PAST,Alfred,A toothpick?
1,21,Vendetta,THE CROCODILE'S LAIR,Alfred,"Master Bruce. - Still intend on that ""scale"" of what have you, I see."
1,21,Vendetta,THE CROCODILE'S LAIR,Alfred,Mmm.. do tell.
1,21,Vendetta,THE CROCODILE'S LAIR,Alfred,"In any event, I’ve made your favorite, French onion soup, and when you let it get cold this time, note that it's in a microwavable crock."
1,21,Vendetta,THE CROCODILE'S LAIR,Alfred,Imagine if I got around to telling him about the salad.
1,21,Vendetta,KILLER CROC,Alfred,"You've been rooted to that spot for over an hour, Master Bruce."
1,21,Vendetta,KILLER CROC,Alfred,Then Croc has escaped.
1,21,Vendetta,KILLER CROC,Alfred,You have Conway and Snail. The could clear Detective Bullock.
1,22,Prophecy of Doom,BATCAVE AND WAYNE ENTERPRISES,Alfred,"So, they were both in showbusiness!"
1,22,Prophecy of Doom,THE GREAT DECEPTION,Alfred,"You gave him ten million dollars, sir!? And to think I was fretting over the electric bill."
1,22,Prophecy of Doom,THE GREAT DECEPTION,Alfred,My word! At least Nostromos can't touch it without Mr. Clark's authorization.
1,23,The Forgotten,ALFRED INVESTIGATES AND BRUCE'S NIGHTMARE,Alfred,"No, I'm sorry, sir. Mister Wayne was called out of town. If you call back on..hmmm...Friday? (Sees the Batmobile in the cave and then checks the other cars) The Studebaker's gone. I better activate the tracking device. -- The Bowery..."
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Alfred,(Having difficulties to control the vehicle) Whoooaaa.....WHOAAAAA......(Takes a look at the monitor and sees the tracking signal) This must be the place. Bring us down.
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Alfred,"But Master Bruce is down here, we have to land."
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Alfred,"Land, you bucket of bolts!"
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Alfred,Oh dear....(Batwing starts descending) AAAAAAHHHH......Get us down!
1,23,The Forgotten,BRUCE REMEMBERS AND ALFRED COMES TO THE RESCUE,Alfred,(Comes out of the ship and falls down to the ground) I... I... I claim this land for Spain. (Notices Bruce approaching) Master Bruce!
1,23,The Forgotten,BATMAN CAPTURES THE BAD GUYS AND AFTERMATH,Alfred,"Are we ready, Master Bruce?"
1,24,Mad as a Hatter,WONDERLAND GOTHAM,Alfred,"Then I'll prepare your usual breakfast. Toast, coffee... bandages."
1,24,Mad as a Hatter,WONDERLAND GOTHAM,Alfred,"When you showed that strange card, I recalled an image from my childhood. Seems those near suicides, have been running with the so styled, Mad Hatter!"
1,26,The Clock King (episode),THE CLOCK KING,Alfred,"Really? If he were in a hurry to get to the food he'd be ahead of us, instead of behind us. (a taxi driver crashes with Alfred) I take it, taxi drivers are no longer required to obey traffic signals!"
1,26,The Clock King (episode),THE CLOCK KING,Alfred,I fear this does not bode well for his campaign.
1,26,The Clock King (episode),TIME INVESTIGATION,Alfred,My pleasure. This is one of the finest back alleys in North Gotham.
1,26,The Clock King (episode),TIME INVESTIGATION,Alfred,A saboteur with too much money?
1,26,The Clock King (episode),TIME INVESTIGATION,Alfred,It appears Mr. Fugate's neighbourhood has seen better days.
1,26,The Clock King (episode),TIME INVESTIGATION,Alfred,"There's been a slight blackout, just one city block. Between Schiff and Robinson, west of Moldoff."
1,26,The Clock King (episode),TIME INVESTIGATION,Alfred,No doubt some malefactors blacked out the bank to disable the locks on the vault.
1,27,Perchance to Dream,AMATEUR,Alfred,"Good morning, Master Bruce! Rise and shine, sir."
1,27,Perchance to Dream,AMATEUR,Alfred,"Trap, sir?"
1,27,Perchance to Dream,AMATEUR,Alfred,"Robyn, sir? A young lady? I thought you and Miss Selina were... Pardom me, sir. None of my business."
1,27,Perchance to Dream,AMATEUR,Alfred,"If it's a joke, sir, I assure you, it's on me. I've just prepared breakfast. Perhaps morning coffee will clear the cobwebs."
1,27,Perchance to Dream,AMATEUR,Alfred,"A problem, sir?"
1,27,Perchance to Dream,AMATEUR,Alfred,"What's 'not here', sir?"
1,27,Perchance to Dream,AMATEUR,Alfred,"Batcave!? I'm sorry, I--"
1,27,Perchance to Dream,LIFE,Alfred,"This should be just the thing for your meeting, Master Bruce."
1,27,Perchance to Dream,LIFE,Alfred,"Very well, Master Bruce. Since your father retired, you've been head of Wayne Enterprises; though Lucius Fox really runs the business-- eh, not that you're uncapable, of course."
1,27,Perchance to Dream,LIFE,Alfred,"...and, uhm... unless the plans have changed since last night, you're to marry Miss Selina Kyle. You proposed to her last week."
1,27,Perchance to Dream,LIFE,Alfred,"Well, sir, it's a leisurely existence, I admit. But there are worse lives."
1,27,Perchance to Dream,REAL,Alfred,"Uh-- I'm afraid not, sir..."
1,27,Perchance to Dream,REAL,Alfred,"It's nice to see you in good humor again, Master Bruce."
1,27,Perchance to Dream,REAL,Alfred,I'll just prepare your suit for the opera tonight.
1,28,The Underdwellers,BATCAVE INVESTIGATION,Alfred,"Pardon? (Bruce turns off Alfred's radio) Not in the mood for Brahms, are we?"
1,28,The Underdwellers,BATCAVE INVESTIGATION,Alfred,"In what sense, Master Bruce?"
1,28,The Underdwellers,BATCAVE INVESTIGATION,Alfred,Hmhehe. Did he have a pot of gold? (Bruce turns his back on him) So..s.. I belive you saw something.
1,28,The Underdwellers,BATCAVE INVESTIGATION,Alfred,I do believe a break from Wayne Enterprises and crime fighting would do wonders. Perhaps a vacation? Golf?
1,28,The Underdwellers,BATCAVE INVESTIGATION,Alfred,In the Bahamas?
1,28,The Underdwellers,BATCAVE INVESTIGATION,Alfred,"You have a fine flair for dramatics, sir."
1,28,The Underdwellers,BATCAVE INVESTIGATION,Alfred,A thi....(unintelligible)
1,28,The Underdwellers,ALFRED TAKES CARE OF THE KID,Alfred,Sir! (Notices the sleeping kid) Might this one be a leprechaun?
1,28,The Underdwellers,ALFRED TAKES CARE OF THE KID,Alfred,Me? B-but I know nothing of children!
1,28,The Underdwellers,ALFRED TAKES CARE OF THE KID,Alfred,"Well, perhaps. Not in that order."
1,28,The Underdwellers,ALFRED TAKES CARE OF THE KID,Alfred,"Rise and shine, Master Leprechaun. Time to be up and about. (Alfred takes the bed sheets and forces the kid to wake up) First, a bath! Don't you think? -- Do you have a name? (The kid nods) I hope you don't expect me to guess it! Fritz? Pete? Leon? How about a little help? Can you talk? (Alfred tries to stop the kid from running away) Uff...gotcha! Hahahaha You'll feel much better when you're clean! And smell better too, I trust."
1,28,The Underdwellers,THE SEARCH FOR FROG AND BATMAN'S DISCOVERY,Alfred,"(Frog tries to eat with his hands) No, no. Let's start with some table manners! Knife, fork, spoon. (Alfred leaves them on the table and Frog takes them away) Oh dear! I could've sworn I...uh, no matter. As they say, ""dig in!"" (After Frog finishes, Alfred prepares to wash the dishes) I wash, you dry. Now then, doesn't it feel good to be doing honest work? (Alfred passes the cutlery to Frog, who runs away with it) What? Wait! Charming... (Alfred searches for Frog through the entire house) Now, see here. We're supposed to be working..."
1,28,The Underdwellers,THE SEARCH FOR FROG AND BATMAN'S DISCOVERY,Alfred,Oh dear! That is extremely dangerous! You must put it down before you hurt someone.
1,29,Night of the Ninja,PAST,Alfred,You know Master Bruce; he is not one to discuss his feelings.
1,29,Night of the Ninja,SUMMER,Alfred,"Of course, dear boy! I was there. Lovely country! I especially like the tea."
1,29,Night of the Ninja,SUMMER,Alfred,"Oh, indeed! He was the only student at martial arts school who could consistently defeat Master Bruce. A bad egg that one!"
1,29,Night of the Ninja,SUMMER,Alfred,"He never admits fear, Master Dick. Haven't you learned that by now? (They realize Bruce is standing in the doorway) Ah, Master Bruce! I-- eh-- uh-- I--"
1,29,Night of the Ninja,SUMMER,Alfred,Who can tell?
1,29,Night of the Ninja,ROBIN TO THE RESCUE,Alfred,"You really think this is a good idea, Master Dick?"
1,29,Night of the Ninja,ROBIN TO THE RESCUE,Alfred,"Godspeed, lad!"
1,29,Night of the Ninja,PAYBACK,Alfred,Do you think he might return?
1,30,The Strange Secret of Bruce Wayne,THERAPY,Alfred,"In that case, perhaps I should lay out your ""evening clothes""."
1,30,The Strange Secret of Bruce Wayne,STRANGE MACHINE,Alfred,"Master Bruce, Dr. Strange has just left the grounds."
1,30,The Strange Secret of Bruce Wayne,STRANGE ALLIES,Alfred,"Good heavens! Master Bruce, you must get out immediately!"
1,30,The Strange Secret of Bruce Wayne,STRANGE ALLIES,Alfred,"It's much worse than that, sir."
1,30,The Strange Secret of Bruce Wayne,STRANGE ALLIES,Alfred,"The Joker, Two-Face and the Penguin have just arrived! With large quantities of cash!"
1,30,The Strange Secret of Bruce Wayne,STRANGE ALLIES,Alfred,"Tape, sir?"
1,30,The Strange Secret of Bruce Wayne,STRANGE ALLIES,Alfred,Yes.
1,30,The Strange Secret of Bruce Wayne,STRANGE ALLIES,Alfred,"Oh Master Bruce, I am so, so sorry. It is all my fault!"
1,30,The Strange Secret of Bruce Wayne,STRANGE ALLIES,Alfred,How reassuring...
1,30,The Strange Secret of Bruce Wayne,THE AUCTION,Alfred,"Does Dr. Strange truly have proof of your identity, sir?"
1,30,The Strange Secret of Bruce Wayne,FINAL CHASE,Alfred,"I spoke to Master Dick, sir, as you requested."
1,30,The Strange Secret of Bruce Wayne,SECRET KEEPER,Alfred,"Where to now, Master Bruce?"
1,32,Dreams in Darkness,EXPOSED,Alfred,"Here are the reference material you requested on water purifying systems, sir. Might one inquire what they're for?"
1,32,Dreams in Darkness,EXPOSED,Alfred,Good heavens! With what?
1,32,Dreams in Darkness,MADNESS,Alfred,"Yes, do come along, Master Bruce. It's time to go home."
1,32,Dreams in Darkness,PAYBACK,Alfred,There you go. (Injects the antidote) As simple as that!
1,33,Beware the Gray Ghost,THE SEARCH,Alfred,Simon Trent! Da... looking chap.
1,33,Beware the Gray Ghost,THE ANSWER,Alfred,"Popcorn, sir?"
1,34,Cat Scratch Fever,TRIAL,Alfred,But I thought you'd grown quite fond of her. I assumed the feeling was mutual.
1,34,Cat Scratch Fever,TRIAL,Alfred,"Oh, dear, these modern relationships can be so complicated."
1,35,I Am the Night,PROLOGUE,Alfred,"Well, I shouldn't wonder. You've taken no meals today. I can't recall when you last slept."
1,35,I Am the Night,PROLOGUE,Alfred,"How can you doubt it? The lives you've saved, the criminals you've brought to justice--"
1,35,I Am the Night,PROLOGUE,Alfred,"Of course, sir."
1,35,I Am the Night,TRIBULATION,Alfred,"I'm so glad you could come, Master Dick. It's been three days. I've never seen him like this before."
1,37,Moon of the Wolf,THE TRAP,Alfred,"Thinking of acquiring a new pet, Master Bruce?"
1,37,Moon of the Wolf,THE TRAP,Alfred,"Then, might I suggest sir, that it's time to get a new map?"
1,37,Moon of the Wolf,THE TRAP,Alfred,Hm... your welcome.
1,38,Terror in the Sky,Eat & Run,Alfred,Trouble Master Bruce?
1,38,Terror in the Sky,Eat & Run,Alfred,"Present company excepted? Indeed, sir, it does. I take it Dr. Langstrom has somehow become the Man-Bat again."
1,38,Terror in the Sky,Eat & Run,Alfred,"You don't think he's taking that formula of his again, do you?"
1,38,Terror in the Sky,Eat & Run,Alfred,"Indeed Master Bruce, it does seem that with a lot more luck, you would've had him."
1,38,Terror in the Sky,A Dream... or Is It?,Alfred,Trouble Master Bruce?
1,38,Terror in the Sky,A Dream... or Is It?,Alfred,"Present company excepted? Indeed, sir, it does. I take it Dr. Langstrom has somehow become the Man-Bat again."
1,38,Terror in the Sky,A Dream... or Is It?,Alfred,"You don't think he's taking that formula of his again, do you?"
1,38,Terror in the Sky,A Dream... or Is It?,Alfred,"Indeed Master Bruce, it does seem that with a lot more luck, you would've had him."
1,38,Terror in the Sky,J'Accuse,Alfred,"Indeed Master Bruce, it does seem that with a lot more luck, you would've had him."
1,38,Terror in the Sky,Batman VS She-Bat,Alfred,"Indeed Master Bruce, it does seem that with a lot more luck, you would've had him."
1,39,Heart of Steel Part I,DAMAGE REPORT,Alfred,Protein-silicon what Master Bruce?
1,39,Heart of Steel Part I,DAMAGE REPORT,Alfred,Sounds more like a line of swimsuits.
1,39,Heart of Steel Part I,DAMAGE REPORT,Alfred,You mean... machines that think?
1,39,Heart of Steel Part I,DAMAGE REPORT,Alfred,"Sounds as if the human race could become quite expendable. Except for butlers, of course."
1,39,Heart of Steel Part I,THE TRUTH,Alfred,"I heard your voice, Miss Duane and thought Master Bruce had returned. I thought you might enjoy a cup of tea-"
1,39,Heart of Steel Part I,THE TRUTH,Alfred,Master Bruce...
1,39,Heart of Steel Part I,THE TRUTH,Alfred,"Forgive me, Master Bruce. I--- I can't imagine how... I must've dozed off. I assume Ms. Duane has left."
1,40,Heart of Steel Part II,SECURITY BREACH,Alfred,"I should hope not but I can't say for certain, sir. I simply can't remember anything beyond the time you left."
1,40,Heart of Steel Part II,SECURITY BREACH,Alfred,"Search for what, Master Bruce?"
1,41,"If You're So Smart, Why Aren't You Rich?",BATCAVE PLAYZONE,Alfred,"Begging your pardon, young sir, but might not the answer on a globe be a curved line?"
1,41,"If You're So Smart, Why Aren't You Rich?",BATCAVE PLAYZONE,Alfred,My word!
1,42,Joker's Wild,JOKER'S WILD,Alfred,But why the deception?
1,44,Off Balance,LOST AND FOUND,Alfred,"Weapon, sir?"
1,44,Off Balance,LOST AND FOUND,Alfred,My word.
1,44,Off Balance,LOST AND FOUND,Alfred,"Might I suggest Master Bruce, that you take a break? If you keep pushing yourself like this, you sure won't know your right hand from your left!"
1,44,Off Balance,LOST AND FOUND,Alfred,Yes. So I've heard...
1,46,The Laughing Fish,THE FISH,Alfred,"Dining in tonight, sir?"
1,46,The Laughing Fish,THE FISH,Alfred,Any idea what our happy friend is up to now?
1,46,The Laughing Fish,THE LAUGH,Alfred,Maybe he's trying to make us all die from disgust.
1,46,The Laughing Fish,THE LAUGH,Alfred,This could cause a stampede to pork.
1,47,Harley and Ivy,HUNTING THE LADIES,Alfred,Then may I suggest an accessory this evening?
1,49,Zatanna (episode),ZATANNA,Alfred,She and her father were very fond of you.
1,49,Zatanna (episode),ZATANNA,Alfred,"Yes. Intense, driven, moody. She'd never recognize you now."
1,49,Zatanna (episode),RESCUE,Alfred,"Obviously. But as she's the only suspect, the police must hold her."
1,49,Zatanna (episode),RESCUE,Alfred,"And more important, you can't desert an old friend."
1,50,Robin's Reckoning Part I,THE ARGUMENT,Alfred,"Master Dick, dare I ask what's going on?"
1,50,Robin's Reckoning Part I,THE ARGUMENT,Alfred,"Master Dick, try not to be too critical. I’m certain whatever his reasons, Master Bruce has your best interests in mind."
1,50,Robin's Reckoning Part I,THE ARGUMENT,Alfred,"Hmm. Can't say that I have, but I'm not one to peruse post office walls."
1,50,Robin's Reckoning Part I,THE ARGUMENT,Alfred,"Oh, my word!"
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Alfred,I hope you find this room to your liking. It was Master Bruce's when he was your age.
1,50,Robin's Reckoning Part I,THE FLYING GRAYSONS,Alfred,"Come, sir. I do believe Master Dick could do some time settle in."
1,50,Robin's Reckoning Part I,THE SEARCH,Alfred,"Very good, sir."
1,50,Robin's Reckoning Part I,THE SEARCH,Alfred,Um... some of the most influential people in Gotham City.
1,50,Robin's Reckoning Part I,THE SEARCH,Alfred,"How fortunate for Zucco, because there's a little boy up there who's just aching for some of that attention."
1,50,Robin's Reckoning Part I,THE SEARCH,Alfred,"I'm sure revenge can be deliciously sweet. However, at the moment, he needs a friend. Isn't that what you needed sir?"
1,50,Robin's Reckoning Part I,UPRISING,Alfred,"Please, Master Dick. You must do as he says."
1,52,Robin's Reckoning Part II,"FLASHBACK, PART II",Alfred,I take it Master Dick's visit will now be indefinite?
1,54,Day of the Samurai,THE SUMMONING,Alfred,"Yoru Sensei, line 3."
1,54,Day of the Samurai,THE RETURN,Alfred,I should enjoy our return to Nipopn more without this unfortunate business.
1,54,Day of the Samurai,THE RETURN,Alfred,"Ah, yes. ........ Honor. Duty. Obligation."
1,54,Day of the Samurai,KIBA NO HOKO,Alfred,"A spot of tea before retiring, Master Bruce? I have some excellent green brew."
1,54,Day of the Samurai,KIBA NO HOKO,Alfred,"If I might be so bold, Master Bruce, how did your meeting with Yoru Sensei go?"
1,54,Day of the Samurai,KIBA NO HOKO,Alfred,And Yoru Sensei?
1,54,Day of the Samurai,KIBA NO HOKO,Alfred,And the kidnapped girl?
1,54,Day of the Samurai,KIBA NO HOKO,Alfred,"To use against you, I expect. Well, perhaps our cowled friend can persuade him otherwise?"
1,54,Day of the Samurai,KIBA NO HOKO,Alfred,But why?
1,54,Day of the Samurai,FINAL QUEST,Alfred,"Another temblor, Master Bruce. Shall I pack for our return to Gotham City, sir?"
1,54,Day of the Samurai,FINAL QUEST,Alfred,"I thought that with the recovery of the young lady and the destruction of the scroll, your chores here were finished."
1,54,Day of the Samurai,FINAL QUEST,Alfred,"I'm afraid my Japanese is a bit rusty, Master Bruce."
1,54,Day of the Samurai,FINAL QUEST,Alfred,Oh. Oh my.
1,54,Day of the Samurai,AFTERMATH,Alfred,I couldn't see through the smoke. Was Kyodai...?
1,54,Day of the Samurai,AFTERMATH,Alfred,"I saw him use the fatal touch on you, Master Bruce. Did he somehow, miss?"
1,56,The Demon's Quest Part I,RA'S AL GHUL,Alfred,"I really should remain upstairs then, sir. Lest he call. Oh, by the way, this came for you an hour ago, by messenger."
1,59,Shadow of the Bat Part I,A SETUP,Alfred,"Yes, it's quite alarming. If this continues, you might even be forced to take a vacation."
1,59,Shadow of the Bat Part I,TRAITOR,Alfred,Expanding membership in the crime fighting club?
